REPORTDATE,REPORTTIME,WATERBODY,REGION,MUNICIPALITY,SITE,STATION,BLOOMINTENSITY,REPORTFREQUENCY,AFFILIATION,WEBSTATUS,DETAILS,WATERTEMP,WATERSURFACE,CYANOTAXA,OTHERTAXA,MICROCYSTIN,ANATOXIN,LATITUDE,LONGITUDE
09/10/2016,14:20,Lake Champlain,Champlain - Inland Sea,Swanton,209.0,"Maquam Shore Road, Swanton",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,78.9,Rolling,,,,,44.9031,-73.1677
09/17/2016,15:30,Lake Champlain,Champlain - Inland Sea,Swanton,209.0,"Maquam Shore Road, Swanton",1b - Little or no BGA present - brown or turbid water,Routine - Weekly,LCC Volunteer,Generally Safe,,72.3,White Caps,,,,,44.9031,-73.1677
09/25/2016,14:30:00,Lake Champlain,Champlain - Inland Sea,Swanton,209.0,"Maquam Shore Road, Swanton",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,67.9,White Caps,,,,,44.9031,-73.1677
10/14/2016,14:40:00,Lake Champlain,Champlain - Inland Sea,Swanton,209.0,"Maquam Shore Road, Swanton",2 - BGA present - less than bloom levels (include photos),Supplemental,LCC Volunteer,Low Alert,First Blue-Green all year,,Rolling,,,,,44.9031,-73.1677
06/27/2016,12:20,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1b - Little or no BGA present - brown or turbid water,Routine - Weekly,VDH,Generally Safe,,68.9,Calm,"Aphanizomenon, Oscillatoria","diatoms, Chrysophytes, green algae, cryptophyte flagellates, unidentified cyanobacteria trichome",<0.16,<0.5,44.08538251,-73.40790864
07/05/2016,13:24,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1c - Little or no BGA present - other material present,Routine - Weekly,VDH,Generally Safe,,24.7,Calm,Anabaena,"Chrysophytes, cryptophyte flagellates, green algae, diatoms",<0.16,<0.5,44.08538251,-73.40790864
07/11/2016,12:17,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1b - Little or no BGA present - brown or turbid water,Routine - Weekly,VDH,Generally Safe,,74.0,Rolling,unidentified Oscillatoriaceae,diatoms,<0.16,<0.5,44.08538251,-73.40790864
07/18/2016,12:36,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1c - Little or no BGA present - other material present,Routine - Weekly,VDH,Generally Safe,,72.7,Rolling,unidentified Oscillatoriaceae,"diatoms, Chrysophytes, green algae, cryptophyte flagellates",<0.16,<0.5,44.08538251,-73.40790864
07/25/2016,12:10,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1c - Little or no BGA present - other material present,Routine - Weekly,VDH,Generally Safe,,72.6,Calm,unidentified Oscillatoriaceae,"diatoms, Chrysophytes, cryptophyte flagellates",<0.16,<0.5,44.08538251,-73.40790864
08/01/2016,12:15,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1a - Little or no BGA present - clear water,Routine - Weekly,VDH,Generally Safe,,76.6,Calm,Anabaena,"Chrysophytes, cryptophyte flagellates, green algae",<0.16,<0.5,44.08538251,-73.40790864
08/08/2016,12:15,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1a - Little or no BGA present - clear water,Routine - Weekly,VDH,Generally Safe,,78.2,Calm,Aphanothece,"diatoms, Chrysophytes, cryptophyte flagellates, green algae, unidentified cyanobacteria cells, unidentified cyanobacteria trichome",<0.16,<0.5,44.08538251,-73.40790864
08/15/2016,12:15,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1d - Little BGA present - recreation not impaired,Routine - Weekly,VDH,Generally Safe,,81.0,Rolling,"Anabaena, Aphanizomenon, Komvophoron spp., unidentified Oscillatoriaceae","diatoms, green algae, cryptophyte flagellates",<0.16,<0.5,44.08538251,-73.40790864
08/22/2016,12:20,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1c - Little or no BGA present - other material present,Routine - Weekly,VDH,Generally Safe,,75.5,Rolling,No cyanobacteria observed,cryptophyte flagellates,<0.16,<0.5,44.08538251,-73.40790864
08/29/2016,12:30,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1d - Little BGA present - recreation not impaired,Routine - Weekly,VDH,Generally Safe,,,White Caps,"Aphanothece, Oscillatoria, unidentified Oscillatoriaceae, Scytonema spp.","diatoms, green algae, cryptophyte flagellates, unidentified cyanobacteria trichome",<0.16,<0.5,44.08538251,-73.40790864
09/06/2016,12:40,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1c - Little or no BGA present - other material present,Routine - Weekly,VDH,Generally Safe,,78.8,Calm,"Aphanizomenon, unidentified Oscillatoriaceae","diatoms, Chrysophytes, green algae, cryptophyte flagellates, unidentified cyanobacteria cells",<0.16,<0.5,44.08538251,-73.40790864
09/12/2016,12:20,Lake Champlain,Champlain - Main Lake South,Addison,210.0,"Tri-Town Road, West Addison",1a - Little or no BGA present - clear water,Routine - Weekly,VDH,Generally Safe,,75.6,Calm,No cyanobacteria observed,"Chrysophytes, green algae, cryptophyte flagellates, diatoms",<0.16,<0.5,44.08538251,-73.40790864
06/21/2016,12:00,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,Mostly Sunny,73.7,Calm,,,,,44.994377,-72.188352
06/28/2016,12:00,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,"Partly sunny, light breeze, 77 degrees",74.2,Rolling,,,,,44.994377,-72.188352
07/05/2016,12:00,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,"Sunny, 81 degrees, no wind",77.1,Calm,,,,,44.994377,-72.188352
07/12/2016,12:00,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,"Mostly sunny, 79 degree clam winds.  Tiny ""ribbon"" of B-G algae appeared for about 15 minutes and then dissipated ",76.5,Calm,,,,,44.994377,-72.188352
07/19/2016,12:00,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,"Partly sunny, light breeze 70 degrees",74.6,Rolling,,,,,44.994377,-72.188352
07/26/2016,12:30,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,"Mostly cloudy, 73 degrees, light wind out of SW",76.1,Rolling,,,,,44.994377,-72.188352
08/02/2016,12:45,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,Sunny calm 76 degrees,78.8,Calm,,,,,44.994377,-72.188352
08/09/2016,12:30,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,Water level continues to drop,76.6,Calm,,,,,44.994377,-72.188352
08/17/2016,12:30,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,Cloudy after rain event yesterday,74.5,Calm,,,,,44.994377,-72.188352
08/23/2016,13:00,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,,Rolling,,,,,44.994377,-72.188352
08/30/2016,10:30,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,74.5,Calm,,,,,44.994377,-72.188352
09/06/2016,12:00,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,,75.9,Calm,,,,,44.994377,-72.188352
09/13/2016,12:30,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,Sunny but breezy.  Lots of floating weeds coming on shore with the wind.  Water still very clear.,73.6,Rolling,,,,,44.994377,-72.188352
09/20/2016,12:30,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,74.0,Rolling,,,,,44.994377,-72.188352
09/27/2016,13:45,Lake Memphremagog,Lake Memphremagog,Derby,211.0,Derby Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,Tiny strands of b-g algae along the shoreline.  Gone within 2 hours with wind shift.  ,68.9,Calm,,,,,44.994377,-72.188352
06/21/2016,15:35,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,,64.6,Rolling,,,,,44.963922,-72.239682
06/28/2016,14:10,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,65.7,Calm,,,,,44.963922,-72.239682
07/05/2016,13:05,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,,69.8,Calm,,,,,44.963922,-72.239682
07/12/2016,13:25,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,,72.4,Calm,,,,,44.963922,-72.239682
07/19/2016,15:10,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,all conditions have been good since last report,71.1,Rolling,,,,,44.963922,-72.239682
07/26/2016,14:05,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,,76.3,Rolling,,,,,44.963922,-72.239682
08/02/2016,13:33,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1c - Little or no BGA present - other material present,Routine - Weekly,MWA Volunteer,Generally Safe,,78.0,Calm,,,,,44.963922,-72.239682
08/09/2016,16:03,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1c - Little or no BGA present - other material present,Routine - Weekly,MWA Volunteer,Generally Safe,,79.6,Calm,,,,,44.963922,-72.239682
08/16/2016,12:55,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,76.5,Calm,,,,,44.963922,-72.239682
08/23/2016,13:19,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,74.3,Calm,,,,,44.963922,-72.239682
08/30/2016,17:46,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,74.8,Calm,,,,,44.963922,-72.239682
09/06/2016,14:43,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,,77.7,Calm,,,,,44.963922,-72.239682
09/13/2016,16:09,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,73.8,Calm,,,,,44.963922,-72.239682
09/20/2016,11:14,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1a - Little or no BGA present - clear water,Routine - Weekly,MWA Volunteer,Generally Safe,,73.0,Calm,,,,,44.963922,-72.239682
09/27/2016,14:58,Lake Memphremagog,Lake Memphremagog,Newport Town,212.0,Holbrook Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,MWA Volunteer,Generally Safe,,70.0,Calm,,,,,44.963922,-72.239682
06/18/2016,16:50,Lake Champlain,Champlain - St. Albans Bay,Georgia,,Georgia Beach,1b - Little or no BGA present - brown or turbid water,Supplemental,LCC Volunteer,Generally Safe,Pollen,,Calm,,,,,44.7647,-73.1628
06/18/2016,9:35,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,new site,70.6,Calm,,,,,45.0705,-73.1451
06/24/2016,15:00,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1b - Little or no BGA present - brown or turbid water,Supplemental,LCC Volunteer,Generally Safe,new site,69.0,Calm,,,,,44.1305,-73.3701
06/24/2016,10:00,Lake Dunmore,Lake Dunmore,Salisbury,,Lake Dunmore Boat Launch,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,"397 West Shore Road; Salisbury, Vt",,Calm,,,,,43.9078,-73.0853
06/24/2016,8:30,Lake Champlain,Champlain - Main Lake Central,Shelburne,,Sledrunner Point,1c - Little or no BGA present - other material present,Supplemental,LCC Volunteer,Generally Safe,green filamentous algae on shore,,Calm,,,,,44.42,-73.2491
06/25/2016,15:30,Lake Champlain,Champlain - St. Albans Bay,Georgia,,Georgia Beach,1c - Little or no BGA present - other material present,Supplemental,LCC Volunteer,Generally Safe,Pollen,,Calm,,,,,44.7647,-73.1628
06/25/2016,14:05,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,existing,79.0,Calm,,,,,45.0705,-73.1451
06/26/2016,14:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,"Mud Point, new site",,Calm,,,,,44.9335,-73.3133
06/27/2016,13:30,Lake Champlain,Champlain - Malletts Bay,Colchester,,Bayside Beach,1a - Little or no BGA present - clear water,Supplemental,LCC Volunteer,Generally Safe,,,Rolling,,,,,44.5469,-73.2155
06/29/2016,15:05,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1b - Little or no BGA present - brown or turbid water,Supplemental,LCC Volunteer,Generally Safe,"data collection followed rain/hail/thunderstorm;  surface not glassy, wavelets coming towards shore",,Calm,,,,,44.1305,-73.3701
06/30/2016,10:18,Lake Dunmore,Lake Dunmore,Salisbury,,Lake Dunmore Boat Launch,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,"937 West Shore Road; Salisbury,Vt",,Calm,,,,,43.9078,-73.0853
07/02/2016,11:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,Mud Point - new site,,White Caps,,,,,44.9335,-73.3133
07/02/2016,13:30,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,75.5,Calm,,,,,45.0705,-73.1451
07/06/2016,17:00,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,LCC Volunteer,Generally Safe,,88.5,Calm,,,,,44.1305,-73.3703
07/07/2016,10:11,Lake Dunmore,Lake Dunmore,Salisbury,,Lake Dunmore Boat Launch,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,43.9078,-73.0853
07/09/2016,13:59,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,76.5,Rolling,,,,,45.0705,-73.1451
07/11/2016,17:30,Lake Champlain,Champlain - Main Lake Central,"Willsboro, NY",,Boquet River,2 - BGA present - less than bloom levels (include photos),Supplemental,LCC Volunteer,Low Alert,station outside regular monitoring network,,Calm,,,,,44.3481,-73.3585
07/11/2016,14:45,Lake Champlain ,Champlain - Main Lake Central,"Willsboro, NY",,"Cedar Lane, Willsboro",2 - BGA present - less than bloom levels (include photos),Supplemental,LCC Volunteer,Low Alert,,,Calm,,,,,44.395092,-73.395935
07/12/2016,14:45,Lake Champlain,Champlain - Main Lake Central,"Willsboro, NY",,Farrell Bay,3 - BGA bloom in progress (include photos),Supplemental,LCC Volunteer,High Alert,,,Calm,,,,,44.393,-73.4044
07/12/2016,14:15,Lake Champlain ,Champlain - Main Lake Central,"Willsboro, NY",,"Cedar Lane, Willsboro",1a - Little or no BGA present - clear water,Supplemental,LCC Volunteer,Generally Safe,,,Calm,,,,,44.395092,-73.395935
07/12/2016,14:00,Lake Champlain,Champlain - Main Lake Central,"Willsboro, NY",,Boquet River,1c - Little or no BGA present - other material present,Supplemental,LCC Volunteer,Generally Safe,"3270 Essex Road, Willsboro, NY ",,Rolling,,,,,44.3481,-73.3585
07/13/2016,12:00,Lake Champlain,Champlain - Main Lake Central,"Willsboro, NY",,Farrell Bay,2 - BGA present - less than bloom levels (include photos),Supplemental,LCC Volunteer,Low Alert,"photos from monitor -some patches near shore, but not much",,Calm,,,,,44.393,-73.4044
07/13/2016,15:40,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,86.5,Calm,,,,,44.1305,-73.3703
07/14/2016,14:30,Lake Champlain,Champlain - Main Lake Central,"Willsboro, NY",,Farrell Bay,1c - Little or no BGA present - other material present,Supplemental,LCC Volunteer,Generally Safe,,,Rolling,,,,,44.393,-73.4044
07/16/2016,12:59,Lake Dunmore,Lake Dunmore,Salisbury,,Lake Dunmore Boat Launch,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,Supplemental,,Calm,,,,,43.9078,-73.0853
07/16/2016,11:50,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,76.5,Calm,,,,,45.0705,-73.1451
07/20/2016,16:40,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,82.5,Calm,,,,,44.1305,-73.3703
07/22/2016,11:08,Lake Dunmore,Lake Dunmore,Salisbury,,Lake Dunmore Boat Launch,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,43.9078,-73.0853
07/23/2016,11:30,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,"water very clear, south east breeze, no weeds either",78.0,Calm,,,,,45.0705,-73.1451
07/23/2016,11:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,New site- Mud Point,,Calm,,,,,44.9335,-73.3133
07/27/2016,14:30,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,44.1305,-73.3703
07/30/2016,11:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,New Site,,Calm,,,,,44.9335,-73.3133
07/30/2016,11:55,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,80.0,Calm,,,,,45.0705,-73.1451
08/03/2016,11:00,Chittenden Reservoir,Lakewide,Chittenden,,Chittenden Reservoir - Lakewide,3 - BGA bloom in progress (include photos),Supplemental,VT DEC,High Alert,,,Calm,Gloeotrichia,,not tested,not tested,43.7312,-72.9097
08/05/2016,15:57,Chittenden Reservoir,Boat launch,Chittenden,,Chittenden Reservoir Boat Launch,2 - BGA present - less than bloom levels (include photos),Supplemental,VDH,Low Alert,"from information from Joanne Calvie, it seems like more of a category 2",,Calm,"Anabaena, Aphanothece","Chroococcus, green algae, cryptophyte flagellates,",,,43.7273,-72.9197
08/05/2016,16:40,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,84.4,Calm,,,,,44.1305,-73.3703
08/05/2016,10:00,Chittenden Reservoir,Lakewide,Chittenden,,Chittenden Reservoir - Lakewide,3 - BGA bloom in progress (include photos),Supplemental,VT DEC,High Alert,,,Calm,Gloeotrichia,,<0.16,not tested,43.7312,-72.9097
08/06/2016,11:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Staff,Generally Safe,New Site,,Calm,,,,,44.9335,-73.3133
08/09/2016,11:00,Chittenden Reservoir,Lakewide,Chittenden,,Chittenden Reservoir - Lakewide,1a - Little or no BGA present - clear water,Supplemental,VDH,Generally Safe,,,Calm,,,,,43.7312,-72.9097
08/09/2016,10:50,Stoughton Pond,Lakewide,Springfield,,Stoughton Pond,2 - BGA present - less than bloom levels (include photos),Supplemental,VT DEC,Low Alert,,,Calm,,,,,43.3434,-72.5093
08/11/2016,17:00,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,91.3,Calm,,,,,44.1305,-73.3703
08/13/2016,15:05,Lake Champlain,Champlain - Missisquoi Bay,Venise-en-Quebec,,Venise-en-Quebec,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,45.0705,-73.1451
08/13/2016,11:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,44.9335,-73.3133
08/15/2016,12:00,Stoughton Pond,Lakewide,Springfield,,Stoughton Pond,2 - BGA present - less than bloom levels (include photos),Supplemental,VDH,Low Alert,Submitted from USACE report,,Calm,,,,,43.3434,-72.5093
08/17/2016,15:15,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,79.5,Rolling,,,,,44.1305,-73.3703
08/19/2016,10:15,Lake Champlain,Champlain - Missisquoi Bay,Swanton/Alburgh,,All locations on western Missisquoi Bay,3 - BGA bloom in progress (include photos),Supplemental,VT DEC,High Alert,,,Calm,not tested,not tested,not tested,not tested,44.9797,-73.214
08/20/2016,11:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,New Site- Mud Point North,,Calm,,,,,44.9335,-73.3133
08/22/2016,10:30,Chittenden Reservoir,Boat launch,Chittenden,,Chittenden Reservoir Boat Launch,1d - Little BGA present - recreation not impaired,Supplemental,VDH,Generally Safe,Visible gleotrichia from boat launch in Chittenden ,74.4,Calm,"Anabaena, Aphanothece, Gloeotrichia","Chrysophytes, green algae, cryptophyte flagellates, diatoms",<0.16,<0.5,43.7273,-72.9197
08/24/2016,10:00,Stoughton Pond,Lakewide,Springfield,,Stoughton Pond,3 - BGA bloom in progress (include photos),Supplemental,VDH,High Alert,Confirmed with USACE and Mike,,Calm,,,,,43.3434,-72.5093
08/24/2016,14:50,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,86.0,Calm,,,,,44.1305,-73.3703
08/27/2016,11:00,Lake Champlain,Champlain - Main Lake North,Alburgh,,Mud Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,New Site - Mud Point,,Calm,,,,,44.9335,-73.3133
08/27/2016,12:25,Lake Carmi,Lake Carmi,Franklin,,Patten Shore Road,3 - BGA bloom in progress (include photos),Supplemental,LCC Volunteer,High Alert,,,Calm,,,,,44.9851,-72.8743
08/29/2016,11:00,Chittenden Reservoir,Boat launch,Chittenden,,Chittenden Reservoir Boat Launch,1d - Little BGA present - recreation not impaired,Supplemental,VDH,Generally Safe,Same as last week,,Calm,,,<0.16,<0.5,43.7273,-72.9197
08/31/2016,15:05,Lake Champlain,Champlain - Main Lake South,Panton,,Spaulding Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,77.3,Rolling,,,,,44.1305,-73.3703
08/31/2016,12:00,Stoughton Pond,Lakewide,Springfield,,Stoughton Pond,3 - BGA bloom in progress (include photos),Supplemental,VDH,High Alert,USACE observations,,Calm,"Coelosphaerium, oscillitoria",,,,43.3434,-72.5093
09/02/2016,13:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,,"Campbell's Bay, Swanton VT",3 - BGA bloom in progress (include photos),Supplemental,LCC Volunteer,High Alert,east shoreline south of Campbell's Bay north of Rt. 78 bridge. Green with fluorescent blue,,Calm,,,,,44.9799,-73.193
09/04/2016,13:00,Maidstone Lake,,Maidstone,,Westside Lake Rd,2 - BGA present - less than bloom levels (include photos),Supplemental,VT DEC,Low Alert,Ms Scott reported Gloeotrichia visible in many locations at varying densities,,Calm,not tested,not tested,not tested,not tested,44.6462,-71.6562
09/06/2016,11:10,Chittenden Reservoir,Boat launch,Chittenden,,Chittenden Reservoir Boat Launch,1d - Little BGA present - recreation not impaired,Supplemental,VDH,Generally Safe,Gleotrichia still abundant,76.4,Calm,"Anabaena, Aphanothece","diatoms, Chroococcus, Chrysophytes, green algae, cryptophyte flagellates, Cyanodictyon spp, Dinoflagellates, unidentified cyanobacteria cells, Snowella",<0.16,<0.5,43.7273,-72.9197
09/07/2016,13:15,Lake Champlain,Champlain - Main Lake South,"Port Henry, NY",,Port Henry Village Beach,2 - BGA present - less than bloom levels (include photos),Supplemental,LCC Volunteer,Low Alert,"This was at Port Henry Village Beach, approx 1/2 mi N of Bulwagga Bay",,Calm,,,,,44.0368777,-73.45475082
09/07/2016,14:00,Maidstone Lake,,Maidstone,,Westside Lake Rd,1d - Little BGA present - recreation not impaired,Supplemental,VT DEC,Generally Safe,nothing suspicious observed,,Calm,not tested,not tested,<0.16,not tested,44.6462,-71.6562
09/07/2016,12:00,Stoughton Pond,Lakewide,Springfield,,Stoughton Pond,3 - BGA bloom in progress (include photos),Supplemental,VDH,High Alert,USACE confirmed little improvement from last week,,Calm,,,,,43.3434,-72.5093
09/08/2016,10:30,North Hartland Lake,Lakewide,Hartland,,North Hartland Lake,3 - BGA bloom in progress (include photos),Supplemental,VDH,High Alert,USACE observation from Nancy Mcnally,,Calm,,,,,43.6046,-72.3622
09/09/2016,14:00,Lake Morey,,Fairlee,,"East side, Lake Morey",2 - BGA present - less than bloom levels (include photos),Supplemental,VT DEC,Low Alert,,,Calm,not tested,not tested,not tested,not tested,43.9262,-72.145
